Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Belgium,BEL,EU,2021,139.23,124.76,139.55,141.22,127.84,96.43,144.53,157.12,97.5,132.67,177.36,123.86,123.89,150.04,166.48,120.89,207.47,115.56,178.9,93.45
Belize,BLZ,NA,2017,105.86,119.772,72.6,174.43,138.3,114.47,99.87,121.98,207.8,107.68,97.035,82.28,76.59,122.29,66.3,153.49,169.25,102.79,97.11,149.09
Belize,BLZ,NA,2021,81.58,106.08,106.34,194.18,112.52,107.81,84.74,110.74,182.34,91.08,69.27,73.36,72.01,101.16,82.1,134.09,139,84.83,51.62,85.02
Benin,BEN,AF,2017,54.05,81.566,59.99,91.19,82.03,145.57,67.34,73.7,90.7,58.41,33.312,47.14,42.63,67.21,57.19,115.19,107.28,56.75,31.51,123.7
Benin,BEN,AF,2021,56.95,97.51,64.57,106.37,113.58,134.99,70.22,88.33,102.48,55.44,28.1,55.25,49.62,88.27,58.85,81.41,143.66,54.34,29.98,147.55
Bermuda,BMU,NA,2017,225.86,181.645,165.41,238.9,322.79,192.98,107.14,137.92,242.13,199.25,279.748,143.19,228.75,157.65,198.36,165.98,237.5,177.78,348.25,162.1
Bermuda,BMU,NA,2021,212.7,205.33,170.49,237.13,318.48,222.42,166.94,135.26,171.21,207.78,276.19,144.81,251.83,162.24,178.06,129.3,171.86,184.2,211.16,137.66
Bhutan,BTN,AS,2017,45.07,69.481,86.07,78.31,71.63,82.44,63.87,61.96,94.28,45.5,27.241,59.73,18.71,62.61,33.69,92.49,78.96,43.12,30.02,123.42
Bhutan,BTN,AS,2021,40.04,77.73,81.55,78.38,72.02,97.62,81.33,80.99,72.45,54.12,19.87,59.66,21.66,61.71,28.18,105.72,63.93,41.39,24.32,112.39
Bolivia,BOL,SA,2017,53.79,68.3,60,81.67,90.3,70.83,52.87,77.02,86.99,61.79,35.969,58.84,48.48,52.08,43.09,105.54,151.47,55.59,76.58,95.58
Bolivia,BOL,SA,2021,54.84,68.57,73.73,74.68,76.62,100.9,52,87.79,95.28,56.4,38.11,64.55,55.11,61.5,49.06,87.96,104.46,61,60.17,75.94
Bosnia and Herzegovina,BIH,EU,2017,64.74,86.916,95.91,104.19,83.93,80.38,84.28,108.36,64.83,142.04,38.29,74.2,47.91,89.74,68.98,90.69,93.35,66.42,29.72,92.55
Bosnia and Herzegovina,BIH,EU,2021,63.05,92.01,87.21,135.47,95.82,81.89,80.46,104.65,77.42,125.5,38.93,78.47,49.9,100.95,78.11,108.73,115.47,70.81,34.44,87.01
Botswana,BWA,AF,2017,69.39,98.008,89.96,126.66,88.99,111.15,72.68,143.97,117.92,60.44,55.27,70.11,48.25,74.45,93.59,116.56,114,74.22,54.34,141.16
Botswana,BWA,AF,2021,67.28,89.95,83.26,108.03,92.01,123.36,69.77,86.49,122.24,65.51,54.16,70.94,47.6,71.09,96.39,93.69,105.35,64.35,70.62,93.79
Brazil,BRA,SA,2017,104.54,107.662,105.73,118.82,143.72,121.49,76.08,108.41,126.46,114.89,93.554,99.65,108.45,117.43,90.79,111.07,160.8,119.87,101.85,120.79
Brazil,BRA,SA,2021,67.41,81.25,78.16,98.12,91.34,90.39,66.28,76.12,73.61,71.03,53.79,69.73,68.63,88.85,48.79,100.07,95.2,69.31,76.45,111.18
Brunei,BRN,AS,2017,72.31,103.366,143.05,166.8,91.69,121.49,98.83,81.58,,111.12,39.29,63.69,68.67,102.26,50.86,210.83,176.47,75.23,61.49,124.92
Brunei,BRN,AS,2021,65.01,102.05,132.68,163.73,77.79,124.34,116.45,86.16,,75.63,46.74,64.03,50.71,64.16,66.06,100.9,102.38,71.67,63.33,105.28
Bulgaria,BGR,EU,2017,60.89,84.915,84.78,97.98,70.66,93.51,78.04,105.69,65.16,98.55,48.457,73.8,32.03,89.35,56.23,92.74,74.02,64.73,32.61,84.29
Bulgaria,BGR,EU,2021,62.68,92.44,89.64,112.48,82.22,109.55,76.44,102.03,76.41,100.53,52.37,79.46,38.36,100.19,62.68,106.35,92.94,73.91,54.04,88.86
Burkina Faso,BFA,AF,2017,49.19,76.365,47.83,76.8,74.53,132.78,68.99,96.49,82.02,43.09,27.16,42.09,38.07,71.35,44.87,114.13,115.61,50.99,39.17,114.53
Burkina Faso,BFA,AF,2021,51.87,73.52,60.42,69.92,76.37,135.95,55.99,70.2,93.86,53.36,30.89,43.51,51.37,74.29,52.75,102.53,175.53,55.48,45.56,125.6
Burma (Myanmar),MMR,AS,2017,41.08,66.501,67.91,69.81,68.24,86.1,67,56.02,107.32,43.77,22.258,46.08,22.18,61.59,36.81,111.77,72.45,37.71,24.28,84.67
Burundi,BDI,AF,2017,54.25,91.02,52.26,72.29,111.35,129.85,70.13,162.16,166.99,42.1,23.876,65.08,43.18,78.85,43.29,128.52,63.27,48.97,25.88,125.14
Burundi,BDI,AF,2021,47.42,83.47,64.42,60.87,97.67,131.53,76.03,132.84,170.55,56.57,23.45,44.81,32.16,71.19,35.59,133.42,69.4,50.16,22.73,113.78
Cambodia,KHM,AS,2017,52.69,79.02,87.59,89.52,70.8,102.91,89.68,70.33,114.03,54.41,47.687,60.2,30.95,78.19,41.38,130.16,59.31,47.72,26.25,108.63
Cambodia,KHM,AS,2021,55.59,89.55,95.54,97.11,84.39,122.53,91.91,85.39,111.05,57.88,57.85,63.31,30.09,87.9,46.64,143.25,58.1,50.89,35.03,99.06
Cameroon,CMR,AF,2017,58.34,83.269,60.76,70.77,109.22,139.99,67.69,73.65,89.57,79.6,40.433,62.58,56.64,71.04,54.39,140.11,110.49,58.22,26.91,115.56
Cameroon,CMR,AF,2021,52.2,87.26,62.31,72.7,109.49,157,69.6,80.6,96.72,79.3,24.44,58.96,51.38,74.55,60.25,131.6,131.72,52.72,28.28,122.21
Canada,CAN,NA,2017,142.12,137.341,148.05,179.9,125.9,152.46,136.14,141.48,121.56,147.44,175.921,136.94,127.09,125.55,148.32,89.82,203.21,121.52,169,94.35
Canada,CAN,NA,2021,152.25,152.02,160.89,199.93,145.25,161.28,144.54,156.22,134,139.57,201.22,141.3,150.47,128.4,150.83,93.35,302.68,116.1,183.35,94.32
Cape Verde,CPV,AF,2017,69.79,93.118,143.1,150.66,85.41,88.63,85.77,98.57,113.7,78.74,48.58,77.64,46.67,98.82,64.65,122.88,156.99,74.04,51.43,133.82
Cape Verde,CPV,AF,2021,81.95,98.86,132.41,151.06,85,93.66,81.85,85.66,143.04,94.29,73.02,83.6,54.25,111.44,73.33,105.68,215.47,84.94,49.47,108.33
Central African Republic,CAF,AF,2017,75.56,118.033,60.2,137.14,134.66,197.98,87.44,108.85,141.61,62.87,55.438,60.3,49.57,73.37,86.26,136.88,144.12,71.78,29.04,123.41
Chad,TCD,AF,2017,58.53,88.871,69.43,100.35,96.8,121.42,56.38,100.08,81.98,49.23,39.501,49.18,51.53,70.11,46.19,96.69,135.17,62.18,37.06,120.56
